geneID	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_02710	199	41	119	3	7	189.559
RUMHYD_02711	243	47	108	19	18	100
RUMHYD_02712	123	18	51	14	8	69
RUMHYD_02713	678	157	465	21	11	156
RUMHYD_02714	30	6	2	1	5.644	34
RUMHYD_02715	239	115	121	49	29.356	300
RUMHYD_02716	4913.529	1003.072	1731.788	948.002	484.887	564
RUMHYD_02717	25558.499	7982.949	10556.212	3920.998	1840.113	1451
RUMHYD_02718	534	329	203	325	146	191.006
RUMHYD_02719	21	12	21	4	6	28
RUMHYD_02720	4624.2	2769	1867	1511	853	1101.994
RUMHYD_02721	3130.8	1335	1253	1810	1210	973
RUMHYD_02722	806	836	811	111	159	68.491
RUMHYD_02723	29	34	36	3	12	0
RUMHYD_02724	731	642	417	90	57	237.891
RUMHYD_02725	3788	3299	3511	263	162	232.246
RUMHYD_02726	13258	12070	16830.464	714	349	625.373
RUMHYD_02727	1	0	4	0	0	17
RUMHYD_02728	6729.028	6591.252	8337	641.149	437	824.08
RUMHYD_02729	11210.998	9889.748	11521	679.851	500	906.92
RUMHYD_02730	1401	845	1621	41	55	229
RUMHYD_02731	7990.163	4097	7485	192	218	409
RUMHYD_02733	1223	2237	2125	112	42	50
RUMHYD_02732	13	1	7	0	0	7
RUMHYD_02734	203	296	190	41	23	56.966
RUMHYD_02735	910	1459	547	494.874	305	206.034
RUMHYD_02736	229	404	118	139.126	86	279.35
RUMHYD_02737	637	1331	611	169	66	84.517
RUMHYD_02738	125	232	67	23	6	17.133
RUMHYD_02739	5308	11069.466	5695	871.673	371	426.733
RUMHYD_02740	616	911.212	735	153.327	43	167.026
RUMHYD_02741	7769.788	11906.247	8215.039	939	315	931.241
RUMHYD_02742	102.235	94	85	11	3	12
RUMHYD_02743	10785.256	19682.49	13884.612	807.677	602	461
RUMHYD_02744	694.911	1058.675	671.876	28.324	28.466	40
RUMHYD_02745	8467.872	12496.261	9362.512	228.191	224.534	362
RUMHYD_02746	0	0	2	0	6	0
RUMHYD_02747	5964.139	7361	6890	492.809	307	280
RUMHYD_02748	23	28	8	2	0	11
RUMHYD_02749	7244	8260.002	8118	417	318	420
RUMHYD_02750	0	0	0	0	4	11
RUMHYD_02751	4	5	14	4	0	24.415
RUMHYD_02752	4	4	0	0	4	60.044
RUMHYD_02753	10	35	8	13	15	212.542
RUMHYD_02754	179	312	268	4	5	27
RUMHYD_02755	13	0	2	2	0	99.428
RUMHYD_02756	8	0	3	11	16.278	115.572
RUMHYD_02757	1	1	2	1.842	8.722	28.128
RUMHYD_02758	10	2	13	14.158	29	165.872
RUMHYD_02759	0	0	0	2	2	49
RUMHYD_02760	13747	10128.438	22936	690	476	303
RUMHYD_02761	32542.915	129947.485	86336.629	2895	1513	1234
RUMHYD_02762	8	1	5	2	2	8
RUMHYD_02763	2711.44	2406.043	2272	426	259	261
