geneID	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_01847	35874	24051	19820	5763.523	3028.441	1215	2556	1963.235	1550
RUMHYD_01848	35921	21755	23791.16	4060	1153	1553	4903	1071.765	1186
RUMHYD_01849	643.269	214	539	318.976	206	287.002	8	2	16
RUMHYD_01850	61	21	30	107.024	93	110.998	0	0	12
RUMHYD_01851	178	135	118	649	498	709	25	15	72
RUMHYD_01854	115	122	127	438	171	336	19	14	12
RUMHYD_01855	6037	5571	4930	14074	5789	17200	430	321	382
RUMHYD_01856	16985	8968	6736	18090	6980.747	1529	228	238	153
RUMHYD_01857	642	1112	933	2298	837	1610	131	46	119
RUMHYD_01858	546	1542	1242	4397	1822	2789	149	84	189
RUMHYD_01859	1267	10863	5048	14516	4522	12463	475.442	309	267.244
RUMHYD_01860	214	1083	390	976.896	247	470	77.558	44	88.365
RUMHYD_01861	506	1964	1014	3989.104	1020	3246	84	69	63.391
RUMHYD_01862	1545	8871.105	5553.245	19910.92	5587.622	14059.491	532	308	327
RUMHYD_01863	7372	42917.895	19383.755	30035.551	8467.377	26206.586	837	619	568
RUMHYD_01864	750	4406	2142	7922.586	1408.001	5656	309	226	337
RUMHYD_01865	905	890	820.439	3037.837	2130.782	1974.34	454.8	244	356
RUMHYD_01866	3154.929	4830	3003.3	13443.628	15346.983	14969.771	1032.992	630	488
RUMHYD_01867	987.071	1196	1082.261	2132.521	932.321	1522.094	209.207	122	302.308
RUMHYD_01868	167	185	192	701	383	469	77	74	92.692
RUMHYD_01869	0	0	1	6	2	3	0	0	2
RUMHYD_01870	40	35	30	74	74	103	32	38	193
RUMHYD_01871	0	0	4	5	7	5	9	2	144.193
RUMHYD_01872	0	9	1	3	12	4	4	5	18.226
RUMHYD_01873	0	17	10	34	12	19	7	14	36.581
RUMHYD_01874	5	30	40	107	59	55	16	28	129.16
RUMHYD_01875	0	0	6	35	18	2	1	20	87.84
RUMHYD_01876	0	0	0	0	13	0	0	0	55.865
RUMHYD_01877	13	8	7	10	9	3	5	7	162.138
RUMHYD_01878	1392	4034	2528	912	388	1070	211	103	293.997
RUMHYD_01879	21	34	8	160	118	72	58	27	69
RUMHYD_01880	329	582	440	925	1024	1037	164	149	178
RUMHYD_01881	633	1120	1023.996	4932.578	5041	3748	322	227	272.239
RUMHYD_01882	47	18	19.004	60.422	35	34	4	9	22.761
RUMHYD_01883	374	325	279	760	370	551	74	44	158.41
RUMHYD_01884	1600	2578	2327	4515	2676.758	4584	274	277	283.59
RUMHYD_01885	1071	1777	1596.227	1815.987	770.192	1699.601	129.59	76.022	179.741
RUMHYD_01886	556	404	328.773	2184.013	973.808	1756.399	94.41	70.978	124.93
RUMHYD_01887	268.436	649	433	1908.843	673.62	1515	54	27	74.33
RUMHYD_01888	1164.564	1336	1110	6280.129	1983.38	3836	152	180	221
RUMHYD_01889	10	3	1	11	5	3	10	8.001	183
RUMHYD_01890	0	0	0	0	0	0	0	0	0
RUMHYD_01891	6	0	0	0	0	0	0	0	0
RUMHYD_01892	0	0	0	0	0	0	0	0	0
RUMHYD_01893	0	0	0	0	0	0	0	0	0
RUMHYD_01895	0	0	0	0	0	0	0	0	0
RUMHYD_01894	0	0	0	0	0	0	0	0	0
RUMHYD_01896	633	490	241	626	578	229	155	106	237
RUMHYD_01897	10382	40546	11834	13283	4024	9558	281	251	189
RUMHYD_01898	0	27	7	25	6	7	3	0	0
RUMHYD_01899	13	30	0	64	13	13	21	4	11
RUMHYD_01900	7	12	4	15	4	7	0	27	12
RUMHYD_01901	1307.923	514	179	271	169	98	278	78	92
RUMHYD_01902	342.077	104	59	301.952	401	204	39.119	67	57
RUMHYD_01903	332	820	359	637.048	858	707	114.881	188	82
RUMHYD_01904	263	155	31	69	38	11	122	50	48
RUMHYD_01905	95	54	30	242.988	233.084	71	58	41.756	50
RUMHYD_01906	122	143	80	444.012	355.934	169	160	89.244	91
